location,time_period,horizon_distance,sample,forecast
LA-AT,201011,0,0,51.8775260958165
LA-BK,201011,0,0,30.558814026309392
LA-BL,201011,0,0,24.884819994470984
LA-CH,201011,0,0,53.86911990069031
LA-HO,201011,0,0,3.3638029669187652
LA-KH,201011,0,0,31.25506115957498
LA-LM,201011,0,0,19.737495281210947
LA-LP,201011,0,0,17.733435380118237
LA-OU,201011,0,0,20.6455897446793
LA-PH,201011,0,0,12.389916745507142
LA-SL,201011,0,0,44.429812241708944
LA-SV,201011,0,0,43.1874457111574
LA-VI,201011,0,0,35.695073200810896
LA-VT,201011,0,0,46.132027158803396
LA-XA,201011,0,0,31.34324423817253
LA-XE,201011,0,0,40.79099530091624
LA-XI,201011,0,0,4.9187293407241235
LA-XN,201011,0,0,22.614786551735754
LA-AT,201012,0,0,39.383243952851245
LA-BK,201012,0,0,26.60258825469645
LA-BL,201012,0,0,16.218257253218532
LA-CH,201012,0,0,46.92146493728578
LA-HO,201012,0,0,-2.4086246443604935
LA-KH,201012,0,0,21.272701980124356
LA-LM,201012,0,0,14.355640369228725
LA-LP,201012,0,0,13.0239261804742
LA-OU,201012,0,0,15.059530927170321
LA-PH,201012,0,0,5.484865565919446
LA-SL,201012,0,0,35.07992301430943
LA-SV,201012,0,0,34.063957859927555
LA-VI,201012,0,0,30.814645184535934
LA-VT,201012,0,0,39.296843405705076
LA-XA,201012,0,0,27.16751836336065
LA-XE,201012,0,0,19.437164322294322
LA-XI,201012,0,0,1.4879897174392163
LA-XN,201012,0,0,18.506110864112337
