location,time_period,horizon_distance,sample,forecast
LA-AT,201008,0,0,20.512562102436526
LA-AT,201009,1,0,18.83831036937741
LA-AT,201010,2,0,14.999444407188033
LA-BK,201008,0,0,5.652090575369658
LA-BK,201009,1,0,-1.8558582569697384
LA-BK,201010,2,0,-6.392657026440176
LA-BL,201008,0,0,469.0105151258565
LA-BL,201009,1,0,387.83195164551387
LA-BL,201010,2,0,352.3616534661583
LA-CH,201008,0,0,667.622222821271
LA-CH,201009,1,0,588.0912120354119
LA-CH,201010,2,0,511.2693711766502
LA-HO,201008,0,0,3.190323700123865
LA-HO,201009,1,0,3.0851094328914064
LA-HO,201010,2,0,2.3021160208647307
LA-KH,201008,0,0,718.5723606974504
LA-KH,201009,1,0,615.0930711803959
LA-KH,201010,2,0,589.8898258569898
LA-LM,201008,0,0,7.2883289582680915
LA-LM,201009,1,0,5.638552227822414
LA-LM,201010,2,0,4.739662237526067
LA-LP,201008,0,0,181.99549210494976
LA-LP,201009,1,0,136.72812651899534
LA-LP,201010,2,0,126.06398121484472
LA-OU,201008,0,0,132.27213051814255
LA-OU,201009,1,0,111.58885608140187
LA-OU,201010,2,0,103.52102625059842
LA-PH,201008,0,0,0.4721246644472009
LA-PH,201009,1,0,0.2678825671587541
LA-PH,201010,2,0,0.24520955801134964
LA-SL,201008,0,0,529.2712973941008
LA-SL,201009,1,0,480.32850238738115
LA-SL,201010,2,0,420.90638426571843
LA-SV,201008,0,0,827.2087930514288
LA-SV,201009,1,0,775.4561221650523
LA-SV,201010,2,0,632.6196635749815
LA-VI,201008,0,0,105.46652373114212
LA-VI,201009,1,0,141.32251219767016
LA-VI,201010,2,0,76.57090882138223
LA-VT,201008,0,0,1472.2318665715065
LA-VT,201009,1,0,1261.8141382679853
LA-VT,201010,2,0,1148.718760489613
LA-XA,201008,0,0,59.41963511099707
LA-XA,201009,1,0,48.761361884609215
LA-XA,201010,2,0,44.06465735537475
LA-XE,201008,0,0,74.48262688518719
LA-XE,201009,1,0,58.57804321331356
LA-XE,201010,2,0,49.917555158267554
LA-XI,201008,0,0,12.192084953603064
LA-XI,201009,1,0,10.769795881984365
LA-XI,201010,2,0,9.689996307619182
LA-XN,201008,0,0,30.98341409559129
LA-XN,201009,1,0,20.644615436174348
LA-XN,201010,2,0,18.494267218920843
LA-AT,201009,0,0,23.8086508243478
LA-AT,201010,1,0,19.96595922638656
LA-AT,201011,2,0,9.975106870550672
LA-BK,201009,0,0,1.107690089222947
LA-BK,201010,1,0,-4.950106581859398
LA-BK,201011,2,0,-9.395787540234686
LA-BL,201009,0,0,353.33627551297013
LA-BL,201010,1,0,333.169646233812
LA-BL,201011,2,0,249.21255728679122
LA-CH,201009,0,0,603.0537490056556
LA-CH,201010,1,0,518.6876613807907
LA-CH,201011,2,0,401.99488850583685
LA-HO,201009,0,0,3.0119029350920403
LA-HO,201010,1,0,2.6418757591374926
LA-HO,201011,2,0,1.6906933408204965
LA-KH,201009,0,0,583.0620427669373
LA-KH,201010,1,0,559.3278222797937
LA-KH,201011,2,0,396.84089740444136
LA-LM,201009,0,0,8.684075860778941
LA-LM,201010,1,0,7.160917479349113
LA-LM,201011,2,0,3.839769878618558
LA-LP,201009,0,0,184.6281994009226
LA-LP,201010,1,0,133.73832404637938
LA-LP,201011,2,0,100.72205131048223
LA-OU,201009,0,0,102.83614698293545
LA-OU,201010,1,0,88.48861732424406
LA-OU,201011,2,0,71.86980879739716
LA-PH,201009,0,0,0.4176021079435361
LA-PH,201010,1,0,0.3086978963234835
LA-PH,201011,2,0,0.09674939657455295
LA-SL,201009,0,0,482.22932949260115
LA-SL,201010,1,0,420.5514166326507
LA-SL,201011,2,0,334.18730661006396
LA-SV,201009,0,0,715.6161231301909
LA-SV,201010,1,0,653.3209273267394
LA-SV,201011,2,0,513.2753006611357
LA-VI,201009,0,0,76.31598778728731
LA-VI,201010,1,0,115.02236118323958
LA-VI,201011,2,0,19.86007604325689
LA-VT,201009,0,0,1484.538155733861
LA-VT,201010,1,0,1279.6697424156778
LA-VT,201011,2,0,910.761645450323
LA-XA,201009,0,0,45.53929309723007
LA-XA,201010,1,0,40.10109276667569
LA-XA,201011,2,0,28.960092074936625
LA-XE,201009,0,0,61.03006117242346
LA-XE,201010,1,0,49.08164615834295
LA-XE,201011,2,0,37.37419020727864
LA-XI,201009,0,0,13.342419691982972
LA-XI,201010,1,0,11.833284244502881
LA-XI,201011,2,0,7.367301705397921
LA-XN,201009,0,0,20.072680690451694
LA-XN,201010,1,0,22.884678380113606
LA-XN,201011,2,0,9.078170903971987
LA-AT,201010,0,0,17.75963570375886
LA-AT,201011,1,0,9.599553778432108
LA-AT,201012,2,0,6.350495399116216
LA-BK,201010,0,0,1.8760064337584206
LA-BK,201011,1,0,-6.993821055010902
LA-BK,201012,2,0,-9.006704120097657
LA-BL,201010,0,0,318.4999061660045
LA-BL,201011,1,0,241.89570905670993
LA-BL,201012,2,0,233.5000809426623
LA-CH,201010,0,0,560.2192411311678
LA-CH,201011,1,0,413.20043631816804
LA-CH,201012,2,0,391.1170722785177
LA-HO,201010,0,0,2.594967198827441
LA-HO,201011,1,0,1.7480740556743457
LA-HO,201012,2,0,1.592576740967157
LA-KH,201010,0,0,505.6167353050545
LA-KH,201011,1,0,384.30299553152037
LA-KH,201012,2,0,377.09450754920437
LA-LM,201010,0,0,11.355818567543743
LA-LM,201011,1,0,5.234047493372386
LA-LM,201012,2,0,4.5535685808522315
LA-LP,201010,0,0,242.1331741594683
LA-LP,201011,1,0,122.59385996461685
LA-LP,201012,2,0,116.53934046151309
LA-OU,201010,0,0,108.47145572552604
LA-OU,201011,1,0,74.88713817995239
LA-OU,201012,2,0,73.09955414356766
LA-PH,201010,0,0,0.10543716482396842
LA-PH,201011,1,0,-0.007111458619030141
LA-PH,201012,2,0,-0.0013210437537027886
LA-SL,201010,0,0,482.673885610403
LA-SL,201011,1,0,355.500337730611
LA-SL,201012,2,0,339.0694605623252
LA-SV,201010,0,0,637.244807803969
LA-SV,201011,1,0,541.1057421356837
LA-SV,201012,2,0,509.5198754072719
LA-VI,201010,0,0,55.95292427167427
LA-VI,201011,1,0,25.976676622438717
LA-VI,201012,2,0,34.80827312158724
LA-VT,201010,0,0,1295.7023820853944
LA-VT,201011,1,0,948.2519795116176
LA-VT,201012,2,0,862.2988268936806
LA-XA,201010,0,0,39.97269282917654
LA-XA,201011,1,0,29.381717608201207
LA-XA,201012,2,0,27.940156071215352
LA-XE,201010,0,0,63.80682579601661
LA-XE,201011,1,0,40.569270885707965
LA-XE,201012,2,0,38.65897076002326
LA-XI,201010,0,0,13.864612616148769
LA-XI,201011,1,0,8.380376985104133
LA-XI,201012,2,0,7.586230798178973
LA-XN,201010,0,0,36.40463238447301
LA-XN,201011,1,0,38.361731277104916
LA-XN,201012,2,0,5.5615780775328805
