location,time_period,horizon_distance,sample,forecast
LA-AT,201006,0,0,33.88715511294075
LA-AT,201007,1,0,33.15565215861588
LA-AT,201008,2,0,33.66040738553364
LA-BK,201006,0,0,46.96662542898885
LA-BK,201007,1,0,42.36896093131914
LA-BK,201008,2,0,28.02329812104363
LA-BL,201006,0,0,153.358523782124
LA-BL,201007,1,0,154.64371533995572
LA-BL,201008,2,0,151.662418963939
LA-CH,201006,0,0,181.9405417183685
LA-CH,201007,1,0,198.72551466499203
LA-CH,201008,2,0,157.41376531525512
LA-HO,201006,0,0,16.602721036174007
LA-HO,201007,1,0,30.085555962624568
LA-HO,201008,2,0,25.887567112934818
LA-KH,201006,0,0,112.09393962009386
LA-KH,201007,1,0,197.4508668804786
LA-KH,201008,2,0,104.25007896172869
LA-LM,201006,0,0,28.085887050766267
LA-LM,201007,1,0,44.76767515940173
LA-LM,201008,2,0,30.057383218278662
LA-LP,201006,0,0,41.10783868093434
LA-LP,201007,1,0,37.87260086755813
LA-LP,201008,2,0,39.59072783327124
LA-OU,201006,0,0,20.627795969048194
LA-OU,201007,1,0,1308.3116831629457
LA-OU,201008,2,0,64.45705960662107
LA-PH,201006,0,0,16.381502791311625
LA-PH,201007,1,0,22.550661023531724
LA-PH,201008,2,0,19.698398747361367
LA-SL,201006,0,0,152.4872497845223
LA-SL,201007,1,0,111.18160877370825
LA-SL,201008,2,0,93.0926308946944
LA-SV,201006,0,0,78.45859450295272
LA-SV,201007,1,0,137.33911917773304
LA-SV,201008,2,0,63.519006968123335
LA-VI,201006,0,0,57.98039865961364
LA-VI,201007,1,0,61.8033266250109
LA-VI,201008,2,0,81.875385236505
LA-VT,201006,0,0,493.01493295647094
LA-VT,201007,1,0,452.54420684362333
LA-VT,201008,2,0,324.0275192710032
LA-XA,201006,0,0,20.11635934638183
LA-XA,201007,1,0,45.1469929586014
LA-XA,201008,2,0,45.12390372683244
LA-XE,201006,0,0,33.67316554798251
LA-XE,201007,1,0,26.113152641501106
LA-XE,201008,2,0,24.594367881243365
LA-XI,201006,0,0,16.669715287275004
LA-XI,201007,1,0,27.27519710440624
LA-XI,201008,2,0,24.4785137032751
LA-XN,201006,0,0,19.58444735364156
LA-XN,201007,1,0,20.766271913690698
LA-XN,201008,2,0,20.781986460108065
LA-AT,201007,0,0,59.25733138975569
LA-AT,201008,1,0,35.66917524474489
LA-AT,201009,2,0,41.22524776146834
LA-BK,201007,0,0,65.24026400854743
LA-BK,201008,1,0,47.34889256806598
LA-BK,201009,2,0,28.41622273978055
LA-BL,201007,0,0,249.09034526327213
LA-BL,201008,1,0,163.42547265722146
LA-BL,201009,2,0,133.51683311920036
LA-CH,201007,0,0,267.0269752953663
LA-CH,201008,1,0,200.28093333568586
LA-CH,201009,2,0,132.8878774296986
LA-HO,201007,0,0,35.658779597493506
LA-HO,201008,1,0,29.997327978793674
LA-HO,201009,2,0,23.647716398721936
LA-KH,201007,0,0,156.9147209652124
LA-KH,201008,1,0,84.72554310753439
LA-KH,201009,2,0,41.92622620868863
LA-LM,201007,0,0,47.97186762986384
LA-LM,201008,1,0,35.328180357007476
LA-LM,201009,2,0,39.521541655806146
LA-LP,201007,0,0,68.69531655948761
LA-LP,201008,1,0,46.57643926653185
LA-LP,201009,2,0,35.132555857479154
LA-OU,201007,0,0,46.373277790858424
LA-OU,201008,1,0,29.656953006166333
LA-OU,201009,2,0,26.87589226753716
LA-PH,201007,0,0,19.94078772657835
LA-PH,201008,1,0,20.04775927326218
LA-PH,201009,2,0,18.960480336793346
LA-SL,201007,0,0,174.51686862460917
LA-SL,201008,1,0,91.96563456613713
LA-SL,201009,2,0,80.43820159413148
LA-SV,201007,0,0,374.08654825333144
LA-SV,201008,1,0,294.1800378669779
LA-SV,201009,2,0,113.56239762353107
LA-VI,201007,0,0,63.5438897695944
LA-VI,201008,1,0,40.55453293489006
LA-VI,201009,2,0,55.26219395934288
