location,time_period,horizon_distance,sample,forecast
LA-AT,201008,0,0,27.43305807726295
LA-AT,201009,1,0,23.797623877747277
LA-AT,201010,2,0,14.481321954441412
LA-BK,201008,0,0,13.774646917908889
LA-BK,201009,1,0,7.820368931906145
LA-BK,201010,2,0,3.9578098741762266
LA-BL,201008,0,0,474.8621226911496
LA-BL,201009,1,0,457.0971717134204
LA-BL,201010,2,0,304.9763905360544
LA-CH,201008,0,0,831.8078605828596
LA-CH,201009,1,0,675.7193888456935
LA-CH,201010,2,0,514.16591132567
LA-HO,201008,0,0,3.170181781378579
LA-HO,201009,1,0,2.429951106687424
LA-HO,201010,2,0,1.7946816840273234
LA-KH,201008,0,0,742.2192250500324
LA-KH,201009,1,0,613.7728238965075
LA-KH,201010,2,0,485.66852405813984
LA-LM,201008,0,0,7.775065985832757
LA-LM,201009,1,0,5.633685437276898
LA-LM,201010,2,0,5.026765663052884
LA-LP,201008,0,0,209.88738770647524
LA-LP,201009,1,0,171.71686654870118
LA-LP,201010,2,0,122.79139562085857
LA-OU,201008,0,0,157.654360891226
LA-OU,201009,1,0,126.26986709546517
LA-OU,201010,2,0,104.07629075821205
LA-PH,201008,0,0,-0.8239461619126696
LA-PH,201009,1,0,-0.025469761788615042
LA-PH,201010,2,0,-1.3207858431557384
LA-SL,201008,0,0,588.6135310673698
LA-SL,201009,1,0,477.6585870474602
LA-SL,201010,2,0,397.26226208207436
LA-SV,201008,0,0,1003.2832220842153
LA-SV,201009,1,0,834.289017547914
LA-SV,201010,2,0,591.1118522264727
LA-VI,201008,0,0,176.01792116866218
LA-VI,201009,1,0,125.01989166224101
LA-VI,201010,2,0,107.52515741780127
LA-VT,201008,0,0,1889.3160918531016
LA-VT,201009,1,0,1564.766209890439
LA-VT,201010,2,0,1252.3348648833817
LA-XA,201008,0,0,74.76364142107968
LA-XA,201009,1,0,63.54769219156806
LA-XA,201010,2,0,49.02281422874902
LA-XE,201008,0,0,87.45201544021862
LA-XE,201009,1,0,73.00385533403939
LA-XE,201010,2,0,56.20405440882391
LA-XI,201008,0,0,17.81396405614391
LA-XI,201009,1,0,13.07106573050833
LA-XI,201010,2,0,9.666047382417135
LA-XN,201008,0,0,71.04448524780373
LA-XN,201009,1,0,27.19585989215608
LA-XN,201010,2,0,35.84184073672319
LA-AT,201009,0,0,34.746644672463475
